state,city,popular_destination,latitude,longitude,interest,google_rating,price_fare
Andaman and Nicobar Islands,Port Blair,Ross island,11.675830,92.762425,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.0,₹0
Andaman and Nicobar Islands,Port Blair,Jolly Buoy island,11.507735,92.612149,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.0,₹0
Andaman and Nicobar Islands,Port Blair,Mahatma Gandhi National Park,11.587090,92.615560,Natural Landscapes & Wildlife,4.7,₹0
Andaman and Nicobar Islands,Port Blair,Barren island volcano,12.279230,93.860440,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.6,₹0
Andaman and Nicobar Islands,Havelock Island,Long island,40.789142,-73.134961,Sightseeing & Exploration,4.3,₹0
Andaman and Nicobar Islands,Havelock Island,Elephant beach,12.008108,92.941606,Natural Landscapes & Wildlife,4.4,₹0
Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,11.984455,92.950845,Natural Landscapes & Wildlife,4.2,₹0
Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,11.835846,93.045101,Natural Landscapes & Wildlife,4.8,₹0
Andaman and Nicobar Islands,Baratang Island,Mangrove creeks,10.744887,92.499992,Natural Landscapes & Wildlife,4.4,₹0
Andaman and Nicobar Islands,Baratang Island,Parrot island,10.744887,92.499992,Natural Landscapes & Wildlife,4.5,₹0
Andaman and Nicobar Islands,Baratang Island,Baludera beach,12.133610,92.804238,Natural Landscapes & Wildlife,4.5,₹0
Andaman and Nicobar Islands,Baratang Island,Coral gazing at Mohwa Dera,10.744887,92.499992,Natural Landscapes & Wildlife,4.8,₹0
Andaman and Nicobar Islands,Baratang Island,Limestone Caves,10.744887,92.499992,Natural Landscapes & Wildlife,4.9,₹0
Andhra Pradesh,Vijayawada,Undavalli caves,16.497141,80.582190,Sightseeing & Exploration,4.8,₹0
Andhra Pradesh,Vijayawada,Bhavani island,16.523107,80.573008,Adventure & Outdoor Activities,4.5,₹0
Andhra Pradesh,Vijayawada,Shopping at Besant road,16.510731,80.626584,Shopping & Markets,4.5,₹0
Andhra Pradesh,Vijayawada,Bapu museum,16.507652,80.627707,"Arts, Science & Literature Attractions",4.6,₹0
Andhra Pradesh,Vijayawada,Mogalarajapuram caves,16.505951,80.645178,Sightseeing & Exploration,4.7,₹0
Andhra Pradesh,Vijayawada,Shopping at Kalanikethan,15.912900,79.739988,Shopping & Markets,4.6,₹0
Andhra Pradesh,Visakhapatnam,Lepakshi Handicrafts Emporium,13.803944,77.607720,Shopping & Markets,4.7,₹0
Andhra Pradesh,Visakhapatnam,CMR Shopping Mall,15.912900,79.739988,Shopping & Markets,4.7,₹0
Andhra Pradesh,Visakhapatnam,Submarine Museum,15.912900,79.739988,Sightseeing & Exploration,4.6,₹0
Andhra Pradesh,Visakhapatnam,Borra Caves,18.280693,83.039699,"Adventure & Outdoor Activities, Natural Landscapes & Wildlife",4.7,₹0
Andhra Pradesh,Visakhapatnam,War Memorial,15.912900,79.739988,Adventure & Outdoor Activities,4.8,₹0
Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,17.765657,83.348834,"Sightseeing & Exploration, Natural Landscapes & Wildlife",4.6,₹0
